accepted_candidates,accepted_f1,accepted_false_triple_rate,accepted_precision,accepted_recall,false_evidence_candidates,graph_mutated,hybrid_f1,hybrid_precision,hybrid_recall,incremental_correct_edges,incremental_edge_recall,input_tokens,latency_seconds,output_tokens,parse_error,partition_match,raw_candidates,raw_f1,raw_false_triple_rate,raw_hash_match,raw_precision,raw_recall,rejected_candidates,replay_match,requested_model,response_status,returned_model,run,total_tokens,validator_rejection_rate
31,0.9032258064516129,0.0,1.0,0.8235294117647058,0,False,0.9206349206349206,1.0,0.8529411764705882,0,0.0,14753,15.01643413999409,2168,,True,32,0.888888888888889,0.03448275862068961,True,0.9655172413793104,0.8235294117647058,1,True,gpt-5.6-luna,completed,gpt-5.6-luna,run01,16921,0.03125
31,0.9032258064516129,0.0,1.0,0.8235294117647058,2,False,0.9206349206349206,1.0,0.8529411764705882,0,0.0,14753,14.849152055001468,2300,,True,34,0.8615384615384616,0.09677419354838712,True,0.9032258064516129,0.8235294117647058,3,True,gpt-5.6-luna,completed,gpt-5.6-luna,run02,17053,0.08823529411764706
37,0.9850746268656716,0.0,1.0,0.9705882352941176,2,False,1.0,1.0,1.0,5,1.0,14753,18.794770647000405,2947,,True,40,0.9428571428571428,0.08333333333333337,True,0.9166666666666666,0.9705882352941176,3,True,gpt-5.6-luna,completed,gpt-5.6-luna,run03,17700,0.075
