asset_f1,asset_precision,asset_recall,b3_f1,b3_precision,b3_recall,critical_miss_rate,critical_misses,dropped_source,edge_brier,edge_calibration_cases,edge_calibration_positive_fraction,edge_ece,edge_f1,edge_precision,edge_recall,entity_f1,entity_precision,entity_recall,excluded_source,graph_edges,graph_nodes,kendall_tau_b_calibrated,kendall_tau_b_primary,kendall_tau_b_rank_aggregation,kendall_tau_b_weighted,method,ndcg_at_10_calibrated,ndcg_at_10_primary,ndcg_at_10_rank_aggregation,ndcg_at_10_weighted,ndcg_at_5_calibrated,ndcg_at_5_primary,ndcg_at_5_rank_aggregation,ndcg_at_5_weighted,ndcg_calibrated,ndcg_primary,ndcg_rank_aggregation,ndcg_weighted,node_truth_conflicts,provenance_invariant,spearman_calibrated,spearman_primary,spearman_rank_aggregation,spearman_weighted,top5_urgent_recall_calibrated,top5_urgent_recall_primary,top5_urgent_recall_rank_aggregation,top5_urgent_recall_weighted,unsupported_edge_rate,urgency_brier,urgency_ece,verification_queue_size
0.9545454545,1,0.9130434783,0.8927022077,0.9090909091,0.8768939394,0,0,cicd,0.02320584151,34,0.9411764706,0.1253730495,0.9696969697,1,0.9411764706,0.9275362319,1,0.8648648649,cicd,32,21,0.5851584177,0.4104768301,0.2931977358,0.5851584177,cigma_without_cicd,0.9563800364,0.943838842,0.9063507623,0.9563800364,0.9627622058,0.8947838492,0.8362467693,0.9627622058,0.9627622058,0.8947838492,0.8362467693,0.9627622058,0,True,0.6555134035,0.4907169335,0.3567002716,0.6555134035,0.3125,0.3125,0.3125,0.3125,0,0.03052189795,0.06251165691,14
0.9302325581,1,0.8695652174,0.725499468,0.7727272727,0.6837121212,0.125,2,cmdb,0.02896697916,26,0.9230769231,0.13999406,0.8275862069,1,0.7058823529,0.84375,1,0.7297297297,cmdb,24,20,0.2051956704,0.1926727978,-0.1920337486,0.2051956704,cigma_without_cmdb,0.8917883696,0.9002398238,0.7338575223,0.8917883696,0.8997382733,0.8997382733,0.7153561166,0.8997382733,0.8997382733,0.8997382733,0.7153561166,0.8997382733,0,True,0.2257914163,0.2299163255,-0.2605307677,0.2257914163,0.3125,0.3125,0.3125,0.3125,0,0.5810547236,0.6514437466,12
0.9047619048,1,0.8260869565,0.7533786094,0.7954545455,0.715530303,0.1875,3,code,0.01600600146,27,0.962962963,0.09982941893,0.8666666667,1,0.7647058824,0.7666666667,1,0.6216216216,code,26,19,0.4295107063,0.3469471998,0.2462406605,0.4295107063,cigma_without_code,0.932920686,0.9030125901,0.8691859509,0.932920686,0.9255244117,0.8947838492,0.9286712451,0.9255244117,0.9255244117,0.8947838492,0.9286712451,0.9255244117,0,True,0.5141050288,0.4555317083,0.3016181982,0.5141050288,0.25,0.3125,0.3125,0.25,0,0.2930020284,0.2928897831,15
0.9777777778,1,0.9565217391,0.8851828095,0.9090909091,0.8625,0.0625,1,ot,0.02121467706,33,0.9393939394,0.1189453649,0.9538461538,1,0.9117647059,0.8787878788,1,0.7837837838,ot,31,22,0.1690308509,0.1664356663,0.0499306999,0.1690308509,cigma_without_ot,0.8805956216,0.8835270913,0.846043857,0.8805956216,0.8678320411,0.8721445442,0.8510488233,0.8678320411,0.8678320411,0.8721445442,0.8510488233,0.8678320411,0,True,0.1893158995,0.2021496515,0.05995964239,0.1893158995,0.25,0.3125,0.3125,0.25,0,0.1540670804,0.1384409457,14
0.9777777778,1,0.9565217391,0.7713255907,0.8181818182,0.7295454545,0.0625,1,pki,0.02444427436,31,0.9677419355,0.1356438269,0.9375,1,0.8823529412,0.701754386,1,0.5405405405,pki,30,22,0.1690308509,0.09986139979,-0.04202571079,0.1690308509,cigma_without_pki,0.8805956216,0.8765834626,0.8327368944,0.8805956216,0.8678320411,0.8284095184,0.8259323063,0.8678320411,0.8678320411,0.8284095184,0.8259323063,0.8678320411,0,True,0.1893158995,0.1176351079,-0.04747028611,0.1893158995,0.25,0.3125,0.3125,0.25,0,0.1540671481,0.1383885121,14
1,1,1,0.7342657343,0.7954545455,0.6818181818,0,0,tls,0.0243808005,31,0.935483871,0.1381366736,0.9206349206,1,0.8529411765,0.701754386,1,0.5405405405,tls,29,23,0.06986966181,0.1575963239,0.01669858684,0.06986966181,cigma_without_tls,0.8557640143,0.8551412975,0.8458103133,0.8557640143,0.8347900513,0.8721445442,0.8234550943,0.8347900513,0.8347900513,0.8721445442,0.8234550943,0.8347900513,0,True,0.0963650866,0.1929133245,0.02685295193,0.0963650866,0.25,0.3125,0.3125,0.25,0,0.3833324576,0.4192043946,14
