method,ndcg,ndcg_rank_aggregation,ndcg_weighted
cbom_inventory,0.6023027149,0.484294889,0.5352174455
cigma,0.8947838492,0.8362467693,0.910629294
cigma_no_alias,0.8947838492,0.7669283934,0.8898600342
cigma_no_paths,0.8510488233,0.8259323063,0.9503496078
cigma_no_quality_gate,0.8947838492,0.5684153189,0.910629294
cigma_uniform_reliability,0.8947838492,0.8362467693,0.910629294
exact_direct,0.8947838492,0.4892493131,0.9562649742
source_union,0.9434732991,0.5973482907,0.9434732991
tls_inventory,0.7817304474,0.7792838445,0.7688035802
