asset_f1,asset_precision,asset_recall,b3_f1,b3_precision,b3_recall,critical_miss_rate,critical_misses,edge_brier,edge_calibration_cases,edge_calibration_positive_fraction,edge_ece,edge_f1,edge_precision,edge_recall,entity_f1,entity_precision,entity_recall,kendall_tau_b_calibrated,kendall_tau_b_primary,kendall_tau_b_rank_aggregation,kendall_tau_b_weighted,method,ndcg_at_10_calibrated,ndcg_at_10_primary,ndcg_at_10_rank_aggregation,ndcg_at_10_weighted,ndcg_at_5_calibrated,ndcg_at_5_primary,ndcg_at_5_rank_aggregation,ndcg_at_5_weighted,ndcg_calibrated,ndcg_primary,ndcg_rank_aggregation,ndcg_weighted,node_truth_conflicts,provenance_invariant,spearman_calibrated,spearman_primary,spearman_rank_aggregation,spearman_weighted,top5_urgent_recall_calibrated,top5_urgent_recall_primary,top5_urgent_recall_rank_aggregation,top5_urgent_recall_weighted,unsupported_edge_rate,urgency_brier,urgency_ece,verification_queue_size
0.5454545455,0.9,0.3913043478,0.1548802176,0.2045454545,0.1246212121,0.625,10,0.04476145635,7,0.8571428571,0.2061154023,0.2926829268,0.8571428571,0.1764705882,0,0,0,-0.1890920093,-0.1073030309,-0.2019709041,-0.1890920093,cbom_inventory,0.676652594,0.7198283416,0.6313257403,0.676652594,0.5352174455,0.6023027149,0.484294889,0.5352174455,0.5352174455,0.6023027149,0.484294889,0.5352174455,0,True,-0.2071778307,-0.1295609186,-0.2216429789,-0.2071778307,0.25,0.25,0.25,0.25,0.1428571429,0.816936391,0.8214525593,6
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,True,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.92,0.8518518519,1,0.9418837675,1,0.8901515152,0,0,0.02761192091,37,0.9459459459,0.1377103056,0.9855072464,0.9714285714,1,0.8787878788,1,0.7837837838,0.4090050358,0.3400762779,-0.008294543363,0.4090050358,cigma_no_alias,0.9221261865,0.9257286718,0.8120714174,0.9221261865,0.8898600342,0.8947838492,0.7669283934,0.8898600342,0.8898600342,0.8947838492,0.7669283934,0.8898600342,0,True,0.4821482389,0.4360526033,-0.00799049273,0.4821482389,0.25,0.3125,0.3125,0.25,0.02857142857,0.2740790639,0.2855551549,20
1,1,1,1,1,1,0,0,0.01714718297,31,0.935483871,0.1069748664,0.9206349206,1,0.8529411765,1,1,1,0.263222775,0.273719931,0.09214785982,0.263222775,cigma_no_paths,0.9113000801,0.8974025888,0.8539844896,0.9113000801,0.9503496078,0.8510488233,0.8259323063,0.9503496078,0.9503496078,0.8510488233,0.8259323063,0.9503496078,0,True,0.287706343,0.3572891749,0.1074673895,0.287706343,0.3125,0.3125,0.3125,0.3125,0,0.202900182,0.2335979532,10
0.9583333333,0.92,1,1,1,1,0,0,0.02049977233,36,0.9444444444,0.1185649855,0.9714285714,0.9444444444,1,1,1,1,0.5175016336,0.2852331942,-0.01271052373,0.5175016336,cigma_no_quality_gate,0.9129369989,0.8984066788,0.6477844938,0.9129369989,0.910629294,0.8947838492,0.5684153189,0.910629294,0.910629294,0.8947838492,0.5684153189,0.910629294,0,True,0.5900740616,0.3740493729,-0.0319233431,0.5900740616,0.25,0.3125,0.25,0.25,0.05555555556,0.09031207009,0.08739258087,17
1,1,1,1,1,1,0,0,0.004822004722,36,0.9444444444,0.02804722222,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma_uniform_reliability,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,True,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,7
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,True,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,True,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.5161290323,1,0.347826087,0.1258741259,0.2045454545,0.09090909091,0.625,10,0.001346311546,6,1,0.03641451523,0.3,1,0.1764705882,0.05263157895,1,0.02702702703,0.02238868314,0.05923488778,0.03319022729,0.02238868314,tls_inventory,0.8187756645,0.8230179891,0.8167298025,0.8187756645,0.7688035802,0.7817304474,0.7792838445,0.7688035802,0.7688035802,0.7817304474,0.7792838445,0.7688035802,0,True,0.02454567769,0.06789809348,0.03537680191,0.02454567769,0.3125,0.3125,0.3125,0.3125,0,0.7453052599,0.7983003201,6
