agility_penalty,algorithm_nodes,blast_radius,calibrated_probability_valid,calibrated_urgency_probability,criticality,data_lifetime_known,data_lifetime_years,entity_type,epistemic_confidence,evidence_ids,exposure,feasibility_agility,feasibility_known,hndl_urgency,impact_assessment_complete,impact_lower_blast_radius,impact_lower_criticality,impact_lower_exposure,impact_lower_hndl_urgency,impact_lower_quantum_vulnerability,impact_upper_blast_radius,impact_upper_criticality,impact_upper_exposure,impact_upper_hndl_urgency,impact_upper_quantum_vulnerability,method,migration_time_known,migration_time_years,missing_impact_factors,node_id,pareto_front,policy_tier,policy_tier_confirmed,policy_tier_lower_bound,policy_tier_upper_bound,primary_rank,primary_rank_score,quantum_vulnerability,rank_aggregation_score,ranking_policy,service_contexts,urgency,verification_required,weighted_baseline_score
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.665033385,0,False,0,endpoint,0.9604,"[""tls:claim:002""]",1,0.5,False,0.1,False,0,0,1,0,1,0,1,1,1,1,tls_inventory,False,1,"[""criticality"",""hndl_urgency""]",node:endpoint:1b9b59ba08a7d6e6,1,2,False,2,3,1,1,1,0.68,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],1,True,0.47
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.3812675761,0,False,0,endpoint,0.9699564543,"[""tls:claim:006""]",0.55,0.5,False,0.1,False,0,0,0.55,0,1,0,1,0.55,1,1,tls_inventory,False,1,"[""criticality"",""hndl_urgency""]",node:endpoint:2287db8be4563d55,2,2,False,2,3,2,0.8,1,0.68,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.8,True,0.4025
0.5,"[""node:algorithm:7e0951d97b24e134""]",0,False,0.1285159648,0,False,0,certificate,0.9604,"[""tls:claim:002""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,tls_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:66cfe6c4a40828c8,1,1,False,1,3,3,0.6,1,0.08,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.6,True,0.32
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1285159648,0,False,0,certificate,0.9699564543,"[""tls:claim:004""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,tls_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:8051197fd57d6951,1,1,False,1,3,4,0.4,1,0.28,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.4,True,0.32
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1285159648,0,False,0,certificate,0.9699564543,"[""tls:claim:006""]",0,0.5,False,0.1,False,0,0,0,0,1,0,1,1,1,1,tls_inventory,False,1,"[""criticality"",""exposure"",""hndl_urgency""]",node:certificate:a8511db199394d31,1,1,False,1,3,5,0.2,1,0.48,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0.2,True,0.32
0.5,"[""node:algorithm:2bfb0ede2655bcc5""]",0,False,0.1987453821,0,False,0,endpoint,0.9699564543,"[""tls:claim:004""]",0.2,0.5,False,0.1,False,0,0,0.2,0,1,0,1,0.2,1,1,tls_inventory,False,1,"[""criticality"",""hndl_urgency""]",node:endpoint:4f10fd4c720b8aba,2,1,False,1,3,6,0,1,0.8,bounded-policy-tier/intra-tier-pareto/lexicographic-v3,[],0,True,0.35
